Film ,Lead Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in US Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend,Year
Max Payne,Fox,16,36,Revenge,Action,3376,5225,40.66,44.73,84.2,35,240.57%,17.6,2008
Immortals,Relativity Media,36,59,Revenge,Action,3112,10349,80.49,102,182.49,75,243.31%,32.21,2011
Quantum of Solace,MGM,64,62,Revenge,Action,3451,19568,166.8,,567,230,246.52%,67.5,2008
X-Men Origins: Wolverine ,Fox,37,72,Revenge,Action,4099,20751,179.9,193.2,373.1,150,249.00%,85.1,2009
Salt,Sony,62,62,Revenge,Action,3612,9970,118.31,175.19,293.5,110,266.82%,36,2010
Star Trek ,Paramount,94,91,Revenge,Action,3849,19539,257.7,127.8,385.5,140,275.00%,75.2,2009
Gamer ,,29,43,Revenge,Action,2502,3659,20.53,14.53,35.1,12.5,281.00%,9.2,2009
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,81,Revenge,Musical,1249,7446,52.9,99.63,152.52,50,305.05%,9.3,2007
Ocean's 13,Warner Bros.,70,74,Revenge,Thriller,3565,10135,117.15,194.16,311.31,85,366.25%,36.1,2007
Transformers: Revenge of the Fallen ,Paramount,20,76,Revenge,Action,4234,25736,402.1,434.2,836.3,210,398.00%,109,2009
Fast and Furious ,Universal,28,76,Revenge,Action,3461,20500,155.1,188,343,85,404.00%,70.9,2009
Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,3648,15024,176.7,304.52,481.23,93,517.45%,54.81,2011
The Dark Knight,Warner Bros.,94,96,Revenge,Thriller,4366,36283,530.92,468.58,996.9,185,538.86%,158.4,2008
Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.1,209.64,35,598.97%,28.3,2011
True Grit,Paramount,96,86,Revenge,Drama,3047,8149,171,79,250.93,38,660.34%,24,2010
Stone,Independent,49,20,Rivalry,Drama,6,12628,1.81,6.59,8.4,22,38.18%,0.08,2010
Leatherheads,Universal,52,41,Rivalry,Comedy,2769,4580,31.23,9.93,41,58,70.69%,12.7,2008
Killer Elite,Independent,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70,75.66%,9.35,2011
Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.4,23.06,25,92.23%,5.24,2011
The Brave One,,43,65,Rivalry,Action,2755,4889,36.79,32.99,69.79,70,99.70%,13.5,2007
Bedtime Stories,Disney,25,63,Rivalry,Comedy,3681,7457,85.35,102.77,85.4,80,106.75%,27.5,2008
Fantastic Mr. Fox ,Fox,93,80,Rivalry,Animation,2033,3426,20.5,21.8,42.78,40,107.00%,7,2009
Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.3,18.8,37.1,30,123.67%,7.71,2011
Duplicity ,,64,38,Rivalry,Romance,2574,5425,55.4,21.4,78.1,60,130.00%,14,2009
Cyrus,Independent,80,51,Rivalry,Comedy,4,45429,7.47,2.45,9.92,7,141.71%,0.18,2010
Robin Hood,Universal,42,59,Rivalry,Action,3503,10295,105.27,216.4,321.67,200,160.84%,36,2010
Marmaduke,Fox,9,46,Rivalry,Comedy,3213,3610,33.64,49.71,83.36,50,166.72%,11.6,2010
Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,3646,3646,90.76,244.39,335.15,200,167.58%,30,2010
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,3575,4507,55.64,84.26,139.9,80,174.88%,16.1,2010
The Three Musketeers,Independent,24,48,Rivalry,Action,3017,2875,20.25,111.9,132.15,75,176.20%,8.67,2011
Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,3565,5333,52.47,78.16,130.63,70,186.61%,19,2010
The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.8,129,227.8,120,189.83%,33.5,2011
Never Back Down,,23,37,Rivalry,Action,2729,3152,24.85,16.78,41.6,21,198.10%,8.6,2008
Takers,Sony,27,57,Rivalry,Action,2206,9298,57.74,10.42,68.16,32,213.00%,20.5,2010
Lakeview Terrace,Sony,46,44,Rivalry,Crime,2464,6090,39.26,5.39,43.8,20,219.00%,15,2008
The American,Universal,66,37,Rivalry,Crime,2823,4668,35.61,10.39,46,20,230.00%,13.1,2010
Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,3356,9308,88.77,137.73,226.5,95,238.42%,31.2,2010
Blades of Glory,Paramount,69,66,Rivalry,Comedy,3372,9790,118.59,27.11,145.71,61,238.87%,33,2007
Underworld: Rise of the Lycans ,Sony,30,68,Rivalry,Action,2942,7080,37,50.8,91.1,35,260.00%,20.8,2009
Red,Summit,71,72,Rivalry,Action,3255,6686,89.84,74.58,164.42,58,283.48%,21.8,2010
Iron Man 2,Paramount,74,80,Rivalry,Action,4380,29252,312.43,309.62,622.1,200,311.05%,128.1,2010
Kick-Ass,Independent,76,83,Rivalry,Action,3065,6469,48.07,48.06,96.13,30,320.43%,19.8,2010
The Bounty Hunter,Sony,7,41,Rivalry,Action,3074,6729,67.06,69.26,136.32,40,340.80%,20.7,2010
The Spirit,Lionsgate,14,29,Rivalry,Action,2509,2576,17.75,19.23,21.5,6,358.33%,6.5,2008
Obsessed ,Sony,20,50,Rivalry,Drama,2514,11318,41,32.4,73.8,20,369.00%,28.6,2009
The Town,Warner Bros.,94,83,Rivalry,Crime,2856,8322,92.18,52.37,144.55,37,390.68%,23.8,2010
Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,3925,12142,165.25,497.78,663.02,150,442.02%,47.66,2011
Drive,Independent,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.01,15,446.71%,11.34,2011
Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.38,32.5,887.33%,26.25,2011
Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,4375,38672,381.01,947.1,1328.11,125,1062.49%,169.19,2011
Take Shelter,Independent,92,85,Sacrifice,Drama,,,1.57,,1.57,5,31.46%,0.05,2011
Seven Pounds,,27,77,Sacrifice,Drama,2758,5385,60.04,,61.4,54,113.70%,14.9,2008
Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.7,45.74,40,114.34%,12.22,2011
Watchmen ,Warner Bros.,64,68,Sacrifice,Action,3611,15291,107.5,77.7,185.3,138,134.00%,55.2,2009
3:10 to Yuma,Lionsgate,88,85,Sacrifice,Drama,2652,5292,53.61,16.17,69.78,50,139.56%,14,2007
9,,57,58,Sacrifice,Animation,1661,10398,29.6,18,48,30,160.00%,10.7,2009
Hellboy II: The Golden Army,Universal,87,70,Sacrifice,Action,3204,10780,75.79,84.4,158.9,82.5,192.61%,34.5,2008
The Day the Earth Stood Still ,Fox,19,34,Sacrifice,Thriller,3560,8562,74.3,153.73,230,100,230.00%,30.5,2008
Valkyrie,MGM,58,66,Sacrifice,Thriller,2711,7756,60.69,117.2,184,75,245.33%,21.03,2008
Hachiko: A Dog's Story,Independent,58,85,Sacrifice,Drama,,,0,40.26,40.26,16,251.63%,18,2010
Margin Call,Independent,86,73,Sacrifice,Thriller,,,4.94,3.93,8.87,3.5,253.40%,0.56,2011
The Adjustment Bureau,Independent,72,67,Sacrifice,Thriller,2840,7450,62.5,65.37,127.87,50.2,254.72%,21.16,2011
We Own the Night,Sony,55,63,Sacrifice,Drama,2362,4583,28.56,26.26,54.83,21,261.08%,10.8,2007
The Haunting of Molly Hartley,,3,22,Sacrifice,Horror,2352,2045,13.56,1.33,14.89,5,297.80%,5.4,2008
The Eye,Lionsgate,22,51,Sacrifice,Horror,2436,5101,31.42,25.55,56.8,12,473.33%,12.4,2008
300,Warner Bros.,60,90,Sacrifice,Action,3103,22844,210.61,245.45,456.07,65,701.64%,70.9,2007
Star Wars: The Clone Wars,Independent,19,46,Sacrifice,Animation,3452,4233,35.16,33.12,65.6,8.5,771.76%,14.6,2008
Body of Lies,Warner Bros.,53,65,Temptation,Action,2710,4754,39.19,75.7,17.5,67.5,25.93%,12.9,2008
The Joneses,Independent,61,47,Temptation,Comedy,,,1.48,0.49,6.41,10,64.10%,0.51,2010
Pride & Glory,Warner Bros.,34,54,Temptation,Crime,2585,2423,15.74,15.41,23.8,30,79.33%,6.26,2008
Armored ,,40,34,Temptation,Action,1915,3400,16,0,16,20,80.00%,6.5,2009
Igor,Independent,36,42,Temptation,Animation,2339,,19.44,11.22,27.6,30,92.00%,7.8,2008
The Box ,,46,27,Temptation,Drama,2635,2873,15.1,11.3,26.34,25,105.00%,7.6,2009
Gran Torino,Independent,80,90,Temptation,Drama,,,148.1,114.25,262.34,167,157.09%,29.48,2008
Brooklyn's Finest,Independent,42,47,Temptation,Action,1936,6896,27.2,9.15,36.31,17,213.59%,13.4,2010
Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.1,83.16,36,231.00%,13.54,2011
Mr. Brooks,MGM,56,75,Temptation,Thriller,2453,4083,28.55,19.57,48.12,20,240.61%,10,2007
Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.8,93.74,149.54,35,427.26%,18.62,2011
Vicky Cristina Barcelona,The Weinstein Company,82,73,Temptation,Romance,692,5427,22.84,,77.2,16,482.50%,3.76,2008
Another Earth,Independent,63,74,Temptation,Fantasy,,,1.32,,1.32,0.2,660.50%,0.08,2011
All Good Things,Independent,33,64,The Riddle,Drama,2,,0.58,0.06,0.64,20,3.20%,0.04,2010
The Killer Inside Me,Independent,56,41,The Riddle,Crime,,,0.22,3.36,3.58,13,27.54%,11.1,2010
Doubt,Independent,78,75,The Riddle,Drama,,,18.73,17.46,18.7,25,74.80%,5.3,2008
Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.3,17.2,38.5,50,77.00%,8.13,2011
88 Minutes,,5,51,The Riddle,Drama,2168,3209,16.93,,32.3,30,107.67%,7,2008
The International ,,58,39,The Riddle,Action,2364,3947,25.5,34.7,60.2,50,120.00%,9.3,2009
Righteous Kill,,19,44,The Riddle,Crime,3152,5168,40.08,,74,60,123.33%,16.3,2008
The Ghost Writer,Independent,83,68,The Riddle,Mystery,4,,15.54,44.48,60.02,45,133.38%,2,2010
State of Play ,,84,71,The Riddle,Crime,2803,5020,37.02,51.32,88.3,60,147.00%,14.1,2009
Untraceable,Independent,14,56,The Riddle,Thriller,2368,4795,28.69,23.97,52.5,35,150.00%,11.4,2008
Nancy Drew,Independent,49,61,The Riddle,Thriller,2612,2615,25.61,5.05,30.67,20,153.33%,6.9,2007
Kit Kittredge: An American Girl,Warner Bros.,78,26,The Riddle,Drama,,,17.66,N/A,17.7,10,177.00%,3.3,2008
Cop Out,Warner Bros.,19,45,The Riddle,Action,3150,5781,44.88,10.64,55.52,30,185.07%,18.21,2010
Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.64,59.8,135.44,60,225.74%,22.4,2011
Street Kings,Fox,37,62,The Riddle,Action,2467,5054,26.42,39.15,63.6,20,318.00%,12.5,2008
In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.9,127.39,40,318.48%,12.05,2011
Angels & Demons ,Sony,36,65,The Riddle,Mystery,3527,13100,133.4,352.6,485.9,150,324.00%,46.2,2009
National Treasure: Book of Secrets,Disney,31,72,The Riddle,Thriller,3832,11686,219.96,237.4,457.36,130,351.82%,44.8,2007
Shutter Island,Paramount,68,73,The Riddle,Drama,2991,13729,128.01,166.79,294.8,80,368.50%,41,2010
Vantage Point,,36,61,The Riddle,Drama,3149,7264,72.27,,151.2,40,378.00%,22.87,2008
Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.28,32,385.24%,14.81,2011
Premonition,Sony,8,55,The Riddle,Drama,2831,6202,47.85,36.14,84,20,419.98%,17.6,2007
Unknown,Independent,55,57,The Riddle,Thriller,3043,7183,63.69,67.1,130.79,30,435.95%,21.86,2011
Sherlock Holmes ,Warner Bros.,70,81,The Riddle,Action,3626,17183,197.6,197,394.6,90,438.00%,62.3,2009
Stop-Loss,Paramount,65,27,Tragedy,Drama,1291,3528,10.92,0.26,11.18,25,44.70%,4.56,2008
Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,47.30%,1.02,2011
Never Let Me Go,Independent,70,70,Tragedy,Drama,4,,2.43,7.3,9.45,15,63.00%,0.11,2010
The Lovely Bones ,Paramount,32,57,Tragedy,Drama,2563,6635,44,48.3,92.3,65,142.00%,17,2009
The Other Boleyn Girl,Independent,41,65,Tragedy,Drama,1166,7035,26.81,50.9,77.2,40,193.00%,8.2,2008
Notorious,Fox,50,66,Tragedy,Biography,1638,12514,20.4,19,40.5,19,213.00%,20.5,2009
The Boy in the Striped Pyjamas,Independent,63,84,Tragedy,Drama,,,8.7,31.37,33,12.5,264.00%,1.03,2008
Michael Jackson's This Is It ,,81,82,Tragedy,Documentary,3481,6675,72.1,180,252.01,60,420.00%,23.3,2009
Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.1,30,3.68%,0.05,2011
The Big Year,Independent,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,18.07%,3.25,2011
The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.4,6.37,21,30.33%,0.11,2011
Mother and Child,Independent,79,61,Transformation,Drama,4,,1.11,3.76,4.87,7,69.57%,0.43,2010
Funny People ,,68,58,Transformation,Comedy,,,22.5,47.3,71.5,70,102.00%,22.7,2009
Ghost Town,Paramount,85,60,Transformation,Comedy,1505,3330,13.25,13.71,24,20,120.00%,5.01,2008
City Island,Independent,81,77,Transformation,Comedy,2,,6.67,1.19,7.86,6,131.00%,0.03,2010
Brothers ,,61,62,Transformation,Drama,2088,4563,28.5,11,39.5,26,152.00%,9.5,2009
What's Your Number,20th Century Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.43,20,152.13%,5.42,2011
Smart People,Independent,50,41,Transformation,Comedy,1106,3700,9.51,2.14,11.65,7,166.45%,4.09,2008
A Christmas Carol,Disney,52,72,Transformation,Animation,3683,8159,137.9,185.7,323.6,190,170.00%,30.1,2009
Space Chimps,Independent*,36,37,Transformation,Animation,2511,2860,30.11,34.73,63.8,37,172.43%,7.18,2008
In the Land of Women,Warner Bros.,43,72,Transformation,Comedy,2155,2186,11.05,6.51,17.56,10,175.62%,4.7,2007
Yes Man,Warner Bros.,43,72,Transformation,Comedy,3434,5318,79.41,,113.4,50,226.80%,18.26,2008
Megamind,Paramount,72,73,Transformation,Animation,3944,9743,144.67,173.46,321.88,130,247.60%,46.02,2010
Footloose,Spyglass Entertainment,71,71,Transformation,Drama,2199,4761,51.16,10.9,62.05,24,258.55%,15.56,2011
Mr. Magorium's Wonder Emporium,Independent,36,56,Transformation,Fantasy,3164,3043,32.06,36.89,68.95,25,275.79%,6.9,2007
Wild Hogs,Disney,14,72,Transformation,Comedy,3287,12077,168.27,85.35,253.63,90,281.81%,39.7,2007
The Women,Warner Bros.,13,41,Transformation,Drama,2962,3415,26.9,23.11,46.1,16,288.13%,10.12,2008
Sunshine Cleaning ,,72,59,Transformation,Comedy,,,12.1,2.5,14.6,5,292.00%,0.9,2009
Michael Clayton,Independent,90,72,Transformation,Thriller,2511,4131,49.03,43.96,92.99,25,371.97%,10.4,2007
Ratatouille,Disney,97,84,Transformation,Animation,3940,11935,206.45,414.98,621.42,150,414.28%,47,2007
The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.49,13.7,54.19,12.5,433.55%,10.47,2011
The Visitor,Independent,92,83,Transformation,Drama,,,9.43,8.65,18.08,4,451.95%,0.09,2008
Wanted,Universal,73,72,Transformation,Action,3175,16040,134.33,,342.1,75,456.13%,50.93,2008
Step Up 3D,Summit,46,67,Transformation,Drama,2435,6494,42.4,116.75,159.15,30,530.50%,15.8,2010
"Extraordinary Measures	",CBS,27,55,Underdog,Drama,2549,2359,12.07,3.07,15.13,31,48.81%,6,2010
The Conspirator,Independent,56,65,Underdog,Drama,707,4960,11.54,2.67,14.21,25,56.84%,3.51,2011
Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,2818,3765,31.52,16.05,47.58,60,79.30%,10.6,2010
Invictus,Warner Bros.,75,74,Underdog,Biography,2125,4052,38.1,11.6,53.9,60,90.00%,8.6,2009
Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,74.21,27.9,102.11,50,204.22%,19.5,2011
Public Enemies ,,67,65,Underdog,Biography,3334,7580,97.1,117,214.1,102.5,209.00%,25.2,2009
Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,83.61,186.2,269.81,110,245.28%,27.32,2011
Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.27,18,245.93%,10.6,2011
Hairspray,Warner Bros.,92,84,Underdog,Musical,3121,8803,118.87,83.68,202.55,75,270.06%,27.5,2007
Julie & Julia ,,74,69,Underdog,Biography,2354,8508,73,43.9,118.6,40,297.00%,20,2009
How to Train Your Dragon,Paramount,98,90,Underdog,Animation,4055,10785,217.58,277.3,494.88,165,299.93%,43.7,2010
Kung Fu Panda,Paramount,88,83,Underdog,Animation,4114,14642,215.43,416.31,631.9,200,315.95%,60.24,2008
Inglourious Basterds ,Universal,88,87,Underdog,Adventure,3135,12024,120.5,193,313.6,70,448.00%,38,2009
Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,3077,7191,64,11.7,75.7,15,504.67%,22.1,2010
The Fighter,Paramount,91,88,Underdog,Drama,2503,4848,93,35,129.19,25,516.76%,12,2010
Step Up 2: The Streets,Disney,26,81,Underdog,Drama,2470,7655,58.02,92.8,148.2,17.5,846.86%,18.91,2008
The Karate Kid,Sony,66,75,Underdog,Action,3663,15197,176.59,182.53,359.13,40,897.83%,55.7,2010
Slumdog Millionaire,Independent,94,90,Underdog,Crime,,,101.89,236.59,198,15,1320.00%,4.3,2008
Semi-Pro,Warner Bros.,21,41,Underdog,Comedy,3121,4830,33.48,10.41,43.9,2.6,1688.46%,15.08,2008
Hesher,Independent,54,68,Wretched Excess,Drama,,,0.38,,0.38,7,5.46%,0.13,2011
Solitary Man,Independent,81,47,Wretched Excess,Comedy,4,23734,4.36,0.7,5.06,15,33.73%,0.09,2010
J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,35.06,,35.06,35,100.16%,11.22,2011
There Will Be Blood,Paramount,91,84,Wretched Excess,Drama,885,5502,40.22,35.96,76.18,25,304.73%,4.9,2007
Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.6,161.85,27,599.44%,18.91,2011
Black Swan        ,Fox,88,86,Wretched Excess,Drama,959,8742,106.95,222.44,329.39,13,2533.77%,8.38,2010
